Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},Error: {0},,General error prefix
_Language,English,English,,Language name - in English
_LanguageNative,English,English,,Language name in the native language
_LanguageCode,en,en,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker Studio 2,GameMaker Studio 2,,IDE title
$win_OpenInExplorer,Open In Explorer,Open In Explorer,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,Open Project In Explorer,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,Open Log In Explorer,,Windows version of Show Log In Explorer
$win_explorer,explorer,explorer,,windows version of explorer
$mac_explorer,finder,finder,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,Show In Finder,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,Show Project In Finder,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,Reveal Log In Finder,,Mac version of Show Log In Explorer
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key
$mac_ctrl,Command,Command,,Mac version of ctrl key
Account_Menu_Login,Login,Login,,"Account menu ""Login"""
Account_Menu_Logout,Logout,Logout,,"Acount menu ""Logout"""
Account_Menu_ManageAccount,Manage Account,Manage Account,,"Account menu ""Account"""
AnimationManager_InvalidTransition,The transition specified '{0}' is not valid,The transition specified '{0}' is not valid,,The transition specified in the animation json is not a valid value
BackgroundLayer_HSpeed,Horizontal Speed,Horizontal Speed,,Numeric textbox label for horizontal scroll speed
BackgroundLayer_HTile,Horizontal Tile,Horizontal Tile,,Checkbox label for horizontal tiling
BackgroundLayer_NoBackground,<no background>,<no background>,,no background selected caption for the background layer button
BackgroundLayer_PosX,X Offset,X Offset,,Numeric textbox label for x pos offset
BackgroundLayer_PosY,Y Offset,Y Offset,,numeric textbox label for y pos offset
BackgroundLayer_Stretch,Stretch,Stretch,,Checkbox label for stretch
BackgroundLayer_VSpeed,Vertical Speed,Vertical Speed,,Numeric textbox label for vertical scroll speed
