Name,English,Translation,Restrictions,Comment
__Priority,0,0,,Order of language importance. Allows other packs to supplement or replace sections
_Argument0,{0},{0},,single unlocalised argument
_Error,Error: {0},Error: {0},,General error prefix
_Language,English,English,,Language name - in English
_LanguageNative,English,English,,Language name in the native language
_LanguageCode,en,en,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
_MANUAL_LOCATION,http://zeus.yoyogames.com/GMS2_English-master.zip,http://zeus.yoyogames.com/GMS2_English-master.zip,,Location of language manual
_MANUAL_ONLINE_URL,https://manual-en.yoyogames.com,https://manual-en.yoyogames.com,,online manual url
_TUTORIALS_ONLINE_URL,https://www.yoyogames.com/en/tutorials,https://www.yoyogames.com/en/tutorials,,Location of Tutorials url
$win_OpenInExplorer,Open In Explorer,Open In Explorer,,Windows version of Open In Explorer
$win_OpenProjectInExplorer,Open Project In Explorer,Open Project In Explorer,,Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,Open Log In Explorer,Open Log In Explorer,,Windows version of Show Log In Explorer
$win_explorer,explorer,explorer,,windows version of explorer
$mac_explorer,finder,finder,,mac version of explorer
$mac_OpenInExplorer,Show In Finder,Show In Finder,,Mac version of Open In Explorer
$mac_OpenProjectInExplorer,Show Project In Finder,Show Project In Finder,,Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,Reveal Log In Finder,Reveal Log In Finder,,Mac version of Show Log In Explorer
$linux_explorer,file manager,file manager,,Linux version of explorer
$linux_OpenInExplorer,Show In File Manager,Show In File Manager,,Linux version of Open In Explorer
$linux_OpenProjectInExplorer,Show Project In File Manager,Show Project In File Manager,,Linux version of Open Project In Explorer
$linux_ShowLogFileInExplorer,Reveal Log In File Manager,Reveal Log In File Manager,,Linux version of Show Log In Explorer
$win_ctrl,Ctrl,Ctrl,,Windows version of ctrl key
$mac_ctrl,Command,Command,,Mac version of ctrl key
$linux_ctrl,Ctrl,Ctrl,,Linux version of ctrl key
$win_FileMenuExit,Exit,Exit,,Windows version of the Exit main menu entry
$mac_FileMenuExit,Quit,Quit,,Mac version of the Exit main menu entry
$linux_FileMenuExit,Exit,Exit,,Linux version of the Exit main menu entry
