Name,English,Translation,Restrictions,Comment
_MANUAL_ONLINE_URL,"https://manual-en.yoyogames.com","https://manual-en.yoyogames.com",,online manual url
_TUTORIALS_ONLINE_URL,"https://www.yoyogames.com/en/tutorials","https://www.yoyogames.com/en/tutorials",,Location of Tutorials url
$linux_explorer,file manager,file manager,,Linux version of explorer
$linux_OpenInExplorer,Show In File Manager,Show In File Manager,,Linux version of Open In Explorer
$linux_OpenProjectInExplorer,Show Project In File Manager,Show Project In File Manager,,Linux version of Open Project In Explorer
$linux_ShowLogFileInExplorer,Reveal Log In File Manager,Reveal Log In File Manager,,Linux version of Show Log In Explorer
$linux_ctrl,Ctrl,Ctrl,,Linux version of ctrl key
$linux_FileMenuExit,Exit,Exit,,Linux version of the Exit main menu entry
$linux_IDEMenuHelpAbout,About,About,,Linux version of the About main menu entry
$linux_IDEMenuViews,Windows,Windows,,Linux version of the views menu entry
$linux_LaptopRHSKeys,Right Control and Right Alt,Right Control and Right Alt,,Linux version of laptop mode keys
$linux_LaptopLZoomKey,Left Control,Left Control,,Linux laptop mode zoom key
DnD_Event_Mouse_Side1,Side 1,Side 1,,Mouse event subtype
DnD_Event_Mouse_Side2,Side 2,Side 2,,Mouse event subtype
Inspector_MultiSortMode,Multi-select order,Multi-select order,,multi select order menu entry
Inspector_MultiSelLabel,Selection: ,Selection: ,,inspector multi select label
Inspector_SelectExistingTag,Select existing tag,Select existing tag,,inspector tag combo label
Inspector_TagsWindowTitleArg,Tags: {0},Tags: {0},,tags window title
Inspector_TagsWindowMulti,Tags: Multiple Selection,Tags: Multiple Selection,,tags window title
inspector_pref_scrollonexpand,Scroll category into view on expand,Scroll category into view on expand,,inspector scroll on expand pref
ListBoxEnum_eMultiSortMode_AssetType,Asset type,Asset type,,multisort mode enum
ListBoxEnum_eMultiSortMode_SelectionOrder,Selection order,Selection order,,multisort mode enum
ListBoxEnum_eMultiSortMode_Alphabetical,Alphabetical,Alphabetical,,multisort mode enum
Inspector_CreateNewAssetType,New {0},New {0},,new (asset type name)
Inspector_EditAssetType,Edit {0},Edit {0},,edit (asset type name)
Inspector_AlignIcons,Align Icons,Align Icons,,inspector align icons label
Inspector_FlipIcons,Flip Icons,Flip Icons,,inspector flip icons label
Inspector_HAlign_Left,Align Left,Align Left,,inspector alignment tooltip
Inspector_HAlign_Centre,Align Centre,Align Centre,,inspector alignment tooltip
Inspector_HAlign_Right,Align Right,Align Right,,inspector alignment tooltip
Inspector_HAlign_Distrib,Distribute Horizontally,Distribute Horizontally,,inspector alignment tooltip
Inspector_VAlign_Top,Align Top,Align Top,,inspector alignment tooltip
Inspector_VAlign_Centre,Align Centre,Align Centre,,inspector alignment tooltip
Inspector_VAlign_Bottom,Align Bottom,Align Bottom,,inspector alignment tooltip
Inspector_VAlign_Distrib,Distribute Vertically,Distribute Vertically,,inspector alignment tooltip
Inspector_AddObjVariable,Add Variable,Add Variable,,inspector add object variable button
SeqTrack_Singular,Track,Track,,sequence track type name singular
SeqTrack_Plural,Tracks,Tracks,,sequence track type name plural
SeqSpriteTrack_Singular,Sprite Track,Sprite Track,,sprite track type name singular
SeqSpriteTrack_Plural,Sprite Tracks,Sprite Tracks,,sprite track type name plural
SeqObjectTrack_Singular,Object Track,Object Track,,object track type name singular
SeqObjectTrack_Plural,Object Tracks,Object Tracks,,object track type name plural
