_Language,English,English,,Language name - in English
_LanguageNative,English,English,,Language name in the native language
_LanguageCode,en,en,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
GMStdSeqSetHead_Story_1,"Set head position (in frames) of sequence instance ${sequenceelmid} to ${var}","Set head position (in frames) of sequence instance ${sequenceelmid} to ${var}",,dnd story text
GMStdSeqGetHead_Story_1,"Get head position (in frames) of sequence instance ${sequenceelmid} into ${var}","Get head position (in frames) of sequence instance ${sequenceelmid} into ${var}",,dnd story text
GMStdSeqGetHead_Story_2,"Get head position (in frames) of sequence instance ${sequenceelmid} into temp ${var}","Get head position (in frames) of sequence instance ${sequenceelmid} into temp ${var}",,dnd story text
GMStdVar_Story_1,"Set ${var} to ${expr}${show_input_count}","Set ${var} to ${expr}${show_input_count}",,dnd story text
GMStdVar_Story_2,"Set ${var} to ${expr} on ${applyto}${show_input_count}","Set ${var} to ${expr} on ${applyto}${show_input_count}",,dnd story text
GMStdVar_Story_3,"Add ${expr} to ${var}${show_input_count}","Add ${expr} to ${var}${show_input_count}",,dnd story text
GMStdVar_Story_4,"Add ${expr} to ${var} on ${applyto}${show_input_count}","Add ${expr} to ${var} on ${applyto}${show_input_count}",,dnd story text
GMStdTempVar_Story_1,"Declare temp ${var}${show_input_count}","Declare temp ${var}${show_input_count}",,dnd story text
GMStdTempVar_Story_2,"Declare temp ${var} on ${applyto}${show_input_count}","Declare temp ${var} on ${applyto}${show_input_count}",,dnd story text
GMStdTempVar_Story_3,"Declare temp ${var} and set it to ${value}${show_input_count}","Declare temp ${var} and set it to ${value}${show_input_count}",,dnd story text
GMStdTempVar_Story_4,"Declare temp ${var} and set it to ${value} on ${applyto}${show_input_count}","Declare temp ${var} and set it to ${value} on ${applyto}${show_input_count}",,dnd story text
GMStdSetGlobal_Story_1,"Set global variable ${var} to ${value}${show_input_count}","Set global variable ${var} to ${value}${show_input_count}",,dnd story text
GMStdSetGlobal_Story_2,"Set global variable ${var} to ${value} on ${applyto}${show_input_count}","Set global variable ${var} to ${value} on ${applyto}${show_input_count}",,dnd story text
GMStdSetGlobal_Story_3,"Add ${value} to global variable ${var}${show_input_count}","Add ${value} to global variable ${var}${show_input_count}",,dnd story text
GMStdSetGlobal_Story_4,"Add ${value} to global variable ${var} on ${applyto}${show_input_count}","Add ${value} to global variable ${var} on ${applyto}${show_input_count}",,dnd story text
GMStdGetGlobal_Story_1,"Get global variable ${var} into ${output}${show_input_count}","Get global variable ${var} into ${output}${show_input_count}",,dnd story text
GMStdGetGlobal_Story_2,"Get global variable ${var} into ${output} on ${applyto}${show_input_count}","Get global variable ${var} into ${output} on ${applyto}${show_input_count}",,dnd story text
GMStdGetGlobal_Story_3,"Get global variable ${var} into temp ${output}${show_input_count}","Get global variable ${var} into temp ${output}${show_input_count}",,dnd story text
GMStdGetGlobal_Story_4,"Get global variable ${var} into temp ${output} on ${applyto}${show_input_count}","Get global variable ${var} into temp ${output} on ${applyto}${show_input_count}",,dnd story text
GMStdIfVar_Story_1,"If ${var} is not equal to ${value}","If ${var} is not equal to ${value}",,dnd story text
GMStdIfVar_Story_2,"If ${var} is not equal to ${value} on ${applyto}","If ${var} is not equal to ${value} on ${applyto}",,dnd story text
GMStdIfVar_Story_3,"If ${var} is not less than ${value}","If ${var} is not less than ${value}",,dnd story text
GMStdIfVar_Story_4,"If ${var} is not less than ${value} on ${applyto}","If ${var} is not less than ${value} on ${applyto}",,dnd story text
GMStdIfVar_Story_5,"If ${var} is not greater than ${value}","If ${var} is not greater than ${value}",,dnd story text
GMStdIfVar_Story_6,"If ${var} is not greater than ${value} on ${applyto}","If ${var} is not greater than ${value} on ${applyto}",,dnd story text
GMStdIfVar_Story_7,"If ${var} is not less than or equal to ${value}","If ${var} is not less than or equal to ${value}",,dnd story text
GMStdIfVar_Story_8,"If ${var} is not less than or equal to ${value} on ${applyto}","If ${var} is not less than or equal to ${value} on ${applyto}",,dnd story text
GMStdIfVar_Story_9,"If ${var} is not greater than or equal to ${value}","If ${var} is not greater than or equal to ${value}",,dnd story text
GMStdIfVar_Story_10,"If ${var} is not greater than or equal to ${value} on ${applyto}","If ${var} is not greater than or equal to ${value} on ${applyto}",,dnd story text
GMStdIfVar_Story_11,"If ${var} is equal to ${value}","If ${var} is equal to ${value}",,dnd story text
GMStdIfVar_Story_12,"If ${var} is equal to ${value} on ${applyto}","If ${var} is equal to ${value} on ${applyto}",,dnd story text
GMStdIfVar_Story_13,"If ${var} is less than ${value}","If ${var} is less than ${value}",,dnd story text
GMStdIfVar_Story_14,"If ${var} is less than ${value} on ${applyto}","If ${var} is less than ${value} on ${applyto}",,dnd story text
GMStdIfVar_Story_15,"If ${var} is greater than ${value}","If ${var} is greater than ${value}",,dnd story text
GMStdIfVar_Story_16,"If ${var} is greater than ${value} on ${applyto}","If ${var} is greater than ${value} on ${applyto}",,dnd story text
GMStdIfVar_Story_17,"If ${var} is less than or equal to ${value}","If ${var} is less than or equal to ${value}",,dnd story text
GMStdIfVar_Story_18,"If ${var} is less than or equal to ${value} on ${applyto}","If ${var} is less than or equal to ${value} on ${applyto}",,dnd story text
GMStdIfVar_Story_19,"If ${var} is greater than or equal to ${value}","If ${var} is greater than or equal to ${value}",,dnd story text
GMStdIfVar_Story_20,"If ${var} is greater than or equal to ${value} on ${applyto}","If ${var} is greater than or equal to ${value} on ${applyto}",,dnd story text
GMStdIfExpr_Story_1,"If ${expr} is true${show_input_count}","If ${expr} is true${show_input_count}",,dnd story text
GMStdIfExpr_Story_2,"If ${expr} is true on ${applyto}${show_input_count}","If ${expr} is true on ${applyto}${show_input_count}",,dnd story text
GMStdIfExpr_Story_3,"If ${expr} is false${show_input_count}","If ${expr} is false${show_input_count}",,dnd story text
GMStdIfExpr_Story_4,"If ${expr} is false on ${applyto}${show_input_count}","If ${expr} is false on ${applyto}${show_input_count}",,dnd story text
GMStdIfUndef_Story_1,"If ${var} is undefined${show_input_count}","If ${var} is undefined${show_input_count}",,dnd story text
GMStdIfUndef_Story_2,"If ${var} is undefined on ${applyto}${show_input_count}","If ${var} is undefined on ${applyto}${show_input_count}",,dnd story text
GMStdIfUndef_Story_3,"If ${var} is not undefined${show_input_count}","If ${var} is not undefined${show_input_count}",,dnd story text
GMStdIfUndef_Story_4,"If ${var} is not undefined on ${applyto}${show_input_count}","If ${var} is not undefined on ${applyto}${show_input_count}",,dnd story text
GMStdElse_Story,"Else","Else",,dnd story text
GMStdExCode_Story_1,"Execute code","Execute code",,dnd story text
GMStdExCode_Story_2,"Execute code on ${applyto}","Execute code on ${applyto}",,dnd story text
GMStdExCode_Story_3,"${overridden_name}","${overridden_name}",,dnd story text
GMStdExCode_Story_4,"${overridden_name} on ${applyto}","${overridden_name} on ${applyto}",,dnd story text
GMStdExScript_Story_1,"Execute ${script}","Execute ${script}",,dnd story text
GMStdExScript_Story_2,"Execute ${script} on ${applyto}","Execute ${script} on ${applyto}",,dnd story text
GMStdExScript_Story_3,"Execute ${script} with 1 argument","Execute ${script} with 1 argument",,dnd story text
GMStdExScript_Story_4,"Execute ${script} with 1 argument on ${applyto}","Execute ${script} with 1 argument on ${applyto}",,dnd story text
GMStdExScript_Story_5,"Execute ${script} with ${input_count} arguments","Execute ${script} with ${input_count} arguments",,dnd story text
GMStdExScript_Story_6,"Execute ${script} with ${input_count} arguments on ${applyto}","Execute ${script} with ${input_count} arguments on ${applyto}",,dnd story text
GMStdExScript_Story_7,"Execute and set ${var} to return value of ${script}","Execute and set ${var} to return value of ${script}",,dnd story text
GMStdExScript_Story_8,"Execute and set ${var} to return value of ${script} on ${applyto}","Execute and set ${var} to return value of ${script} on ${applyto}",,dnd story text
GMStdExScript_Story_9,"Execute and set ${var} to return value of ${script} with 1 argument","Execute and set ${var} to return value of ${script} with 1 argument",,dnd story text
GMStdExScript_Story_10,"Execute and set ${var} to return value of ${script} with 1 argument on ${applyto}","Execute and set ${var} to return value of ${script} with 1 argument on ${applyto}",,dnd story text
GMStdExScript_Story_11,"Execute and set ${var} to return value of ${script} with ${input_count} arguments","Execute and set ${var} to return value of ${script} with ${input_count} arguments",,dnd story text
GMStdExScript_Story_12,"Execute and set ${var} to return value of ${script} with ${input_count} arguments on ${applyto}","Execute and set ${var} to return value of ${script} with ${input_count} arguments on ${applyto}",,dnd story text
GMStdExScript_Story_13,"Execute and set temp ${var} to return value of ${script}","Execute and set temp ${var} to return value of ${script}",,dnd story text
GMStdExScript_Story_14,"Execute and set temp ${var} to return value of ${script} on ${applyto}","Execute and set temp ${var} to return value of ${script} on ${applyto}",,dnd story text
GMStdExScript_Story_15,"Execute and set temp ${var} to return value of ${script} with 1 argument","Execute and set temp ${var} to return value of ${script} with 1 argument",,dnd story text
GMStdExScript_Story_16,"Execute and set temp ${var} to return value of ${script} with 1 argument on ${applyto}","Execute and set temp ${var} to return value of ${script} with 1 argument on ${applyto}",,dnd story text
GMStdExScript_Story_17,"Execute and set temp ${var} to return value of ${script} with ${input_count} arguments","Execute and set temp ${var} to return value of ${script} with ${input_count} arguments",,dnd story text
GMStdExScript_Story_18,"Execute and set temp ${var} to return value of ${script} with ${input_count} arguments on ${applyto}","Execute and set temp ${var} to return value of ${script} with ${input_count} arguments on ${applyto}",,dnd story text
GMStdCallFunction_Story_1,"Call ${function}","Call ${function}",,dnd story text
GMStdCallFunction_Story_2,"Call ${function} on ${applyto}","Call ${function} on ${applyto}",,dnd story text
GMStdCallFunction_Story_3,"Call ${function} with 1 argument","Call ${function} with 1 argument",,dnd story text
GMStdCallFunction_Story_4,"Call ${function} with 1 argument on ${applyto}","Call ${function} with 1 argument on ${applyto}",,dnd story text
GMStdCallFunction_Story_5,"Call ${function} with ${input_count} arguments","Call ${function} with ${input_count} arguments",,dnd story text
GMStdCallFunction_Story_6,"Call ${function} with ${input_count} arguments on ${applyto}","Call ${function} with ${input_count} arguments on ${applyto}",,dnd story text
GMStdCallFunction_Story_7,"Set ${var} to return value of ${function}","Set ${var} to return value of ${function}",,dnd story text
GMStdCallFunction_Story_8,"Set ${var} to return value of ${function} on ${applyto}","Set ${var} to return value of ${function} on ${applyto}",,dnd story text
GMStdCallFunction_Story_9,"Set ${var} to return value of ${function} with 1 argument","Set ${var} to return value of ${function} with 1 argument",,dnd story text
GMStdCallFunction_Story_10,"Set ${var} to return value of ${function} with 1 argument on ${applyto}","Set ${var} to return value of ${function} with 1 argument on ${applyto}",,dnd story text
GMStdCallFunction_Story_11,"Set ${var} to return value of ${function} with ${input_count} arguments","Set ${var} to return value of ${function} with ${input_count} arguments",,dnd story text
GMStdCallFunction_Story_12,"Set ${var} to return value of ${function} with ${input_count} arguments on ${applyto}","Set ${var} to return value of ${function} with ${input_count} arguments on ${applyto}",,dnd story text
GMStdCallFunction_Story_13,"Set temp ${var} to return value of ${function}","Set temp ${var} to return value of ${function}",,dnd story text
GMStdCallFunction_Story_14,"Set temp ${var} to return value of ${function} on ${applyto}","Set temp ${var} to return value of ${function} on ${applyto}",,dnd story text
GMStdCallFunction_Story_15,"Set temp ${var} to return value of ${function} with 1 argument","Set temp ${var} to return value of ${function} with 1 argument",,dnd story text
GMStdCallFunction_Story_16,"Set temp ${var} to return value of ${function} with 1 argument on ${applyto}","Set temp ${var} to return value of ${function} with 1 argument on ${applyto}",,dnd story text
GMStdCallFunction_Story_17,"Set temp ${var} to return value of ${function} with ${input_count} arguments","Set temp ${var} to return value of ${function} with ${input_count} arguments",,dnd story text
GMStdCallFunction_Story_18,"Set temp ${var} to return value of ${function} with ${input_count} arguments on ${applyto}","Set temp ${var} to return value of ${function} with ${input_count} arguments on ${applyto}",,dnd story text
GMStdNew_Story_1,"Set ${var} to new instance of ${function}","Set ${var} to new instance of ${function}",,dnd story text
GMStdNew_Story_2,"Set ${var} to new instance of ${function} with 1 argument","Set ${var} to new instance of ${function} with 1 argument",,dnd story text
GMStdNew_Story_3,"Set ${var} to new instance of ${function} with ${input_count} arguments","Set ${var} to new instance of ${function} with ${input_count} arguments",,dnd story text
GMStdNew_Story_4,"Set temp ${var} to new instance of ${function}","Set temp ${var} to new instance of ${function}",,dnd story text
GMStdNew_Story_5,"Set temp ${var} to new instance of ${function} with 1 argument","Set temp ${var} to new instance of ${function} with 1 argument",,dnd story text
GMStdNew_Story_6,"Set temp ${var} to new instance of ${function} with ${input_count} arguments","Set temp ${var} to new instance of ${function} with ${input_count} arguments",,dnd story text
GMStdRet_Story_1,"Return ${value}","Return ${value}",,dnd story text
GMStdRet_Story_2,"Return ${value} on ${applyto}","Return ${value} on ${applyto}",,dnd story text
GMStdApplyTo_Story_1,"Apply to ${applyto}","Apply to ${applyto}",,dnd story text
GMStdMacro_Story_1,"Define macro ${macro} as ${value}${show_input_count}","Define macro ${macro} as ${value}${show_input_count}",,dnd story text
GMStdMacro_Story_2,"Define macro ${macro} as ${value} on ${applyto}${show_input_count}","Define macro ${macro} as ${value} on ${applyto}${show_input_count}",,dnd story text
GMStdExit_Story,"Exit the current event","Exit the current event",,dnd story text
GMStdInstCreate_Story_1,"Create ${objectid} at ${dnd_pos}","Create ${objectid} at ${dnd_pos}",,dnd story text
GMStdInstCreate_Story_2,"Create ${objectid} at ${dnd_pos} on ${applyto}","Create ${objectid} at ${dnd_pos} on ${applyto}",,dnd story text
GMStdInstCreate_Story_3,"Create ${objectid} at ${dnd_pos} into ${var}","Create ${objectid} at ${dnd_pos} into ${var}",,dnd story text
GMStdInstCreate_Story_4,"Create ${objectid} at ${dnd_pos} into ${var} on ${applyto}","Create ${objectid} at ${dnd_pos} into ${var} on ${applyto}",,dnd story text
GMStdInstCreate_Story_5,"Create ${objectid} at ${dnd_pos} into temp ${var}","Create ${objectid} at ${dnd_pos} into temp ${var}",,dnd story text
GMStdInstCreate_Story_6,"Create ${objectid} at ${dnd_pos} into temp ${var} on ${applyto}","Create ${objectid} at ${dnd_pos} into temp ${var} on ${applyto}",,dnd story text
GMStdInstDestroy_Story_1,"Destroy this instance","Destroy this instance",,dnd story text
GMStdInstDestroy_Story_2,"Destroy ${applyto} on ${applyto}","Destroy ${applyto} on ${applyto}",,dnd story text
GMStdDestroyAtPos_Story_1,"Destroy instances at ${dnd_pos}","Destroy instances at ${dnd_pos}",,dnd story text
GMStdDestroyAtPos_Story_2,"Destroy instances at ${dnd_pos} on ${applyto}","Destroy instances at ${dnd_pos} on ${applyto}",,dnd story text
GMStdInstChange_Story_1,"Change into ${objind}","Change into ${objind}",,dnd story text
GMStdInstChange_Story_2,"Change ${applyto} into ${objind} on ${applyto}","Change ${applyto} into ${objind} on ${applyto}",,dnd story text
GMStdSetAlarm_Story_1,"Set alarm ${alarm} to ${steps}${show_input_count}","Set alarm ${alarm} to ${steps}${show_input_count}",,dnd story text
GMStdSetAlarm_Story_2,"Set alarm ${alarm} to ${steps} on ${applyto}${show_input_count}","Set alarm ${alarm} to ${steps} on ${applyto}${show_input_count}",,dnd story text
GMStdSetAlarm_Story_3,"Add ${steps} to alarm ${alarm}${show_input_count}","Add ${steps} to alarm ${alarm}${show_input_count}",,dnd story text
GMStdSetAlarm_Story_4,"Add ${steps} to alarm ${alarm} on ${applyto}${show_input_count}","Add ${steps} to alarm ${alarm} on ${applyto}${show_input_count}",,dnd story text
GMStdGetAlarm_Story_1,"Get alarm ${alarm} into ${var}","Get alarm ${alarm} into ${var}",,dnd story text
GMStdGetAlarm_Story_2,"Get alarm ${alarm} into ${var} on ${applyto}","Get alarm ${alarm} into ${var} on ${applyto}",,dnd story text
GMStdGetAlarm_Story_3,"Get alarm ${alarm} into temp ${var}","Get alarm ${alarm} into temp ${var}",,dnd story text
GMStdGetAlarm_Story_4,"Get alarm ${alarm} into temp ${var} on ${applyto}","Get alarm ${alarm} into temp ${var} on ${applyto}",,dnd story text
GMStdInstCount_Story_1,"Get ${object} count into ${var}","Get ${object} count into ${var}",,dnd story text
GMStdInstCount_Story_2,"Get ${object} count into ${var} on ${applyto}","Get ${object} count into ${var} on ${applyto}",,dnd story text
GMStdInstCount_Story_3,"Get ${object} count into temp ${var}","Get ${object} count into temp ${var}",,dnd story text
GMStdInstCount_Story_4,"Get ${object} count into temp ${var} on ${applyto}","Get ${object} count into temp ${var} on ${applyto}",,dnd story text
GMStdCallUserEvent_Story_1,"Call user event ${event}${show_input_count}","Call user event ${event}${show_input_count}",,dnd story text
GMStdCallUserEvent_Story_2,"Call user event ${event} on ${applyto}${show_input_count}","Call user event ${event} on ${applyto}${show_input_count}",,dnd story text
GMStdSetInstanceVar_Story_1,"Set instance variable ${dnd_set_inst_vars} to ${value}${show_input_count}","Set instance variable ${dnd_set_inst_vars} to ${value}${show_input_count}",,dnd story text
GMStdSetInstanceVar_Story_2,"Set instance variable ${dnd_set_inst_vars} to ${value} on ${applyto}${show_input_count}","Set instance variable ${dnd_set_inst_vars} to ${value} on ${applyto}${show_input_count}",,dnd story text
GMStdGetInstanceVar_Story_1,"Get instance variable ${dnd_get_inst_vars} into ${target}${show_input_count}","Get instance variable ${dnd_get_inst_vars} into ${target}${show_input_count}",,dnd story text
GMStdGetInstanceVar_Story_2,"Get instance variable ${dnd_get_inst_vars} into ${target} on ${applyto}${show_input_count}","Get instance variable ${dnd_get_inst_vars} into ${target} on ${applyto}${show_input_count}",,dnd story text
GMStdGetInstanceVar_Story_3,"Get instance variable ${dnd_get_inst_vars} into temp ${target}${show_input_count}","Get instance variable ${dnd_get_inst_vars} into temp ${target}${show_input_count}",,dnd story text
GMStdGetInstanceVar_Story_4,"Get instance variable ${dnd_get_inst_vars} into temp ${target} on ${applyto}${show_input_count}","Get instance variable ${dnd_get_inst_vars} into temp ${target} on ${applyto}${show_input_count}",,dnd story text
GMStdSetSprite_Story_1,"Set sprite to ${spriteind} at frame ${imageind}","Set sprite to ${spriteind} at frame ${imageind}",,dnd story text
GMStdSetSprite_Story_2,"Set sprite to ${spriteind} at frame ${imageind} on ${applyto}","Set sprite to ${spriteind} at frame ${imageind} on ${applyto}",,dnd story text
GMStdRotSprite_Story_1,"Set rotation to ${angle}","Set rotation to ${angle}",,dnd story text
GMStdRotSprite_Story_2,"Set rotation to ${angle} on ${applyto}","Set rotation to ${angle} on ${applyto}",,dnd story text
GMStdRotSprite_Story_3,"Add ${angle} to rotation","Add ${angle} to rotation",,dnd story text
GMStdRotSprite_Story_4,"Add ${angle} to rotation on ${applyto}","Add ${angle} to rotation on ${applyto}",,dnd story text
GMStdSpriteAnimSpd_Story_1,"Set animation speed to ${speed}","Set animation speed to ${speed}",,dnd story text
GMStdSpriteAnimSpd_Story_2,"Set animation speed to ${speed} on ${applyto}","Set animation speed to ${speed} on ${applyto}",,dnd story text
GMStdSpriteAnimSpd_Story_3,"Add ${speed} to animation speed","Add ${speed} to animation speed",,dnd story text
GMStdSpriteAnimSpd_Story_4,"Add ${speed} to animation speed on ${applyto}","Add ${speed} to animation speed on ${applyto}",,dnd story text
GMStdSpriteScale_Story_1,"Scale to ${xscale},${yscale}","Scale to ${xscale},${yscale}",,dnd story text
GMStdSpriteScale_Story_2,"Scale to ${xscale},image_yscale","Scale to ${xscale},image_yscale",,dnd story text
GMStdSpriteScale_Story_3,"Scale to ${xscale},image_yscale+${yscale}","Scale to ${xscale},image_yscale+${yscale}",,dnd story text
GMStdSpriteScale_Story_4,"Scale to image_xscale,${yscale}","Scale to image_xscale,${yscale}",,dnd story text
GMStdSpriteScale_Story_5,"Scale to image_xscale,image_yscale","Scale to image_xscale,image_yscale",,dnd story text
GMStdSpriteScale_Story_6,"Scale to image_xscale,image_yscale+${yscale}","Scale to image_xscale,image_yscale+${yscale}",,dnd story text
GMStdSpriteScale_Story_7,"Scale to image_xscale+${xscale},${yscale}","Scale to image_xscale+${xscale},${yscale}",,dnd story text
GMStdSpriteScale_Story_8,"Scale to image_xscale+${xscale},image_yscale","Scale to image_xscale+${xscale},image_yscale",,dnd story text
GMStdSpriteScale_Story_9,"Scale to image_xscale+${xscale},image_yscale+${yscale}","Scale to image_xscale+${xscale},image_yscale+${yscale}",,dnd story text
GMStdSpriteScale_Story_10,"Scale ${applyto} to ${xscale},${yscale} on ${applyto}","Scale ${applyto} to ${xscale},${yscale} on ${applyto}",,dnd story text
GMStdSpriteScale_Story_11,"Scale ${applyto} to ${xscale},image_yscale on ${applyto}","Scale ${applyto} to ${xscale},image_yscale on ${applyto}",,dnd story text
GMStdSpriteScale_Story_12,"Scale ${applyto} to ${xscale},image_yscale+${yscale} on ${applyto}","Scale ${applyto} to ${xscale},image_yscale+${yscale} on ${applyto}",,dnd story text
GMStdSpriteScale_Story_13,"Scale ${applyto} to image_xscale,${yscale} on ${applyto}","Scale ${applyto} to image_xscale,${yscale} on ${applyto}",,dnd story text
GMStdSpriteScale_Story_14,"Scale ${applyto} to image_xscale,image_yscale on ${applyto}","Scale ${applyto} to image_xscale,image_yscale on ${applyto}",,dnd story text
GMStdSpriteScale_Story_15,"Scale ${applyto} to image_xscale,image_yscale+${yscale} on ${applyto}","Scale ${applyto} to image_xscale,image_yscale+${yscale} on ${applyto}",,dnd story text
GMStdSpriteScale_Story_16,"Scale ${applyto} to image_xscale+${xscale},${yscale} on ${applyto}","Scale ${applyto} to image_xscale+${xscale},${yscale} on ${applyto}",,dnd story text
GMStdSpriteScale_Story_17,"Scale ${applyto} to image_xscale+${xscale},image_yscale on ${applyto}","Scale ${applyto} to image_xscale+${xscale},image_yscale on ${applyto}",,dnd story text
GMStdSpriteScale_Story_18,"Scale ${applyto} to image_xscale+${xscale},image_yscale+${yscale} on ${applyto}","Scale ${applyto} to image_xscale+${xscale},image_yscale+${yscale} on ${applyto}",,dnd story text
GMStdSpriteAlpha_Story_1,"Set alpha to ${alpha}","Set alpha to ${alpha}",,dnd story text
GMStdSpriteAlpha_Story_2,"Set alpha to ${alpha} on ${applyto}","Set alpha to ${alpha} on ${applyto}",,dnd story text
GMStdSpriteAlpha_Story_3,"Add ${alpha} to alpha","Add ${alpha} to alpha",,dnd story text
GMStdSpriteAlpha_Story_4,"Add ${alpha} to alpha on ${applyto}","Add ${alpha} to alpha on ${applyto}",,dnd story text
GMStdSpriteColor_Story_1,"Set sprite blend colour to ${colour}","Set sprite blend colour to ${colour}",,dnd story text
GMStdSpriteColor_Story_2,"Set sprite blend colour to ${colour} on ${applyto}","Set sprite blend colour to ${colour} on ${applyto}",,dnd story text
GMStdInstExists_Story_1,"Check if ${obj} does not exist","Check if ${obj} does not exist",,dnd story text
GMStdInstExists_Story_2,"Check if ${obj} does not exist on ${applyto}","Check if ${obj} does not exist on ${applyto}",,dnd story text
GMStdInstExists_Story_3,"Check if ${obj} exists","Check if ${obj} exists",,dnd story text
GMStdInstExists_Story_4,"Check if ${obj} exists on ${applyto}","Check if ${obj} exists on ${applyto}",,dnd story text
GMStdInheritEvent_Story_1,"Call parent event","Call parent event",,dnd story text
GMStdInheritEvent_Story_2,"Call parent event on ${applyto}","Call parent event on ${applyto}",,dnd story text
GMStdIfSequenceExists_Story_1,"If sequence ${obj} exists","If sequence ${obj} exists",,dnd story text
GMStdIfSequenceExists_Story_2,"If sequence ${obj} does not exists","If sequence ${obj} does not exists",,dnd story text
GMStdSeqDestroy_Story_1,"Destroy sequence ${var}","Destroy sequence ${var}",,dnd story text
GMStdSeqPlay_Story_1,"Play sequence ${var}","Play sequence ${var}",,dnd story text
GMStdSeqPause_Story_1,"Pause sequence ${var}","Pause sequence ${var}",,dnd story text
GMStdSeqSetPos_Story_1,"Set position of sequence instance ${sequenceelmid} to ${dnd_pos}","Set position of sequence instance ${sequenceelmid} to ${dnd_pos}",,dnd story text
GMStdSeqCreate_Story_1,"Create ${sequenceid} at ${dnd_pos}","Create ${sequenceid} at ${dnd_pos}",,dnd story text
GMStdSeqCreate_Story_2,"Create ${sequenceid} at ${dnd_pos} on ${applyto}","Create ${sequenceid} at ${dnd_pos} on ${applyto}",,dnd story text
GMStdSeqCreate_Story_3,"Create ${sequenceid} at ${dnd_pos} into ${var}","Create ${sequenceid} at ${dnd_pos} into ${var}",,dnd story text
GMStdSeqCreate_Story_4,"Create ${sequenceid} at ${dnd_pos} into ${var} on ${applyto}","Create ${sequenceid} at ${dnd_pos} into ${var} on ${applyto}",,dnd story text
GMStdSeqCreate_Story_5,"Create ${sequenceid} at ${dnd_pos} into temp ${var}","Create ${sequenceid} at ${dnd_pos} into temp ${var}",,dnd story text
GMStdSeqCreate_Story_6,"Create ${sequenceid} at ${dnd_pos} into temp ${var} on ${applyto}","Create ${sequenceid} at ${dnd_pos} into temp ${var} on ${applyto}",,dnd story text
GMStdSeqGetPos_Story_1,"Get position of sequence instance ${sequenceelmid} into ${varx} and ${vary}","Get position of sequence instance ${sequenceelmid} into ${varx} and ${vary}",,dnd story text
GMStdSeqGetPos_Story_2,"Get position of sequence instance ${sequenceelmid} into temp ${varx} and ${vary}","Get position of sequence instance ${sequenceelmid} into temp ${varx} and ${vary}",,dnd story text
GMStdSeqGetPos_Story_3,"Get position of sequence instance ${sequenceelmid} into ${varx} and temp ${vary}","Get position of sequence instance ${sequenceelmid} into ${varx} and temp ${vary}",,dnd story text
GMStdSeqGetPos_Story_4,"Get position of sequence instance ${sequenceelmid} into temp ${varx} and temp ${vary}","Get position of sequence instance ${sequenceelmid} into temp ${varx} and temp ${vary}",,dnd story text
GMStdSeqGetLength_Story_1,"Get length of sequence instance ${sequenceelmid} into ${var}","Get length of sequence instance ${sequenceelmid} into ${var}",,dnd story text
GMStdSeqGetLength_Story_2,"Get length of sequence instance ${sequenceelmid} into temp ${var}","Get length of sequence instance ${sequenceelmid} into temp ${var}",,dnd story text
GMStdIfMousePressed_Story_1,"If mouse button ${button} is pressed","If mouse button ${button} is pressed",,dnd story text
GMStdIfMousePressed_Story_2,"If mouse button ${button} is pressed on ${applyto}","If mouse button ${button} is pressed on ${applyto}",,dnd story text
GMStdIfMousePressed_Story_3,"If mouse button ${button} is not pressed","If mouse button ${button} is not pressed",,dnd story text
GMStdIfMousePressed_Story_4,"If mouse button ${button} is not pressed on ${applyto}","If mouse button ${button} is not pressed on ${applyto}",,dnd story text
GMStdIfMouseDown_Story_1,"If mouse button ${button} is down","If mouse button ${button} is down",,dnd story text
GMStdIfMouseDown_Story_2,"If mouse button ${button} is down on ${applyto}","If mouse button ${button} is down on ${applyto}",,dnd story text
GMStdIfMouseDown_Story_3,"If mouse button ${button} is not down","If mouse button ${button} is not down",,dnd story text
GMStdIfMouseDown_Story_4,"If mouse button ${button} is not down on ${applyto}","If mouse button ${button} is not down on ${applyto}",,dnd story text
GMStdIfMouseUp_Story_1,"If mouse button ${button} is released","If mouse button ${button} is released",,dnd story text
